Sample date,Amount,Notes,CC (pg/well),%Binding,CF,dilution,CC (pg/ml),CC (pg/g),CC (ng/g),construction_status,name,construction_dummy
2015-08-18,0.5038,NA,28.369,66.513,20,75,42553.5,84465.0655021834,84.46506550218339,Active Construction,Etana,1
2015-08-24,0.5196,NA,56.564,54.39,20,75,84846,163290.99307159355,163.29099307159356,Active Construction,Etana,1
2015-08-26,0.5018,NA,60.09,53.322,20,75,90135.00000000001,179623.35591869272,179.6233559186927,Active Construction,Etana,1
2015-08-31,0.5044,NA,50.507,56.396,20,75,75760.5,150199.246629659,150.199246629659,Active Construction,Etana,1
2014-12-26,0.5004,NA,17.851,74.202,20,75,26776.5,53510.191846522786,53.51019184652279,No Construction,Etana,0
2015-09-02,0.5006,NA,22.966,70.09,20,75,34449.00000000001,68815.42149420697,68.81542149420697,Active Construction,Etana,1
2015-09-04,0.5024,NA,41.47,59.886,20,75,62205,123815.68471337581,123.81568471337582,Active Construction,Etana,1
2015-09-07,0.4992,NA,39.456,60.765,20,75,59184.00000000001,118557.69230769233,118.55769230769232,Active Construction,Etana,1
2015-09-09,0.4854,NA,46.463,57.875,20,75,69694.5,143581.5822002472,143.58158220024723,Active Construction,Etana,1
2015-09-11,0.4911,NA,43.105,63.074,20,75,64657.49999999999,131658.521686011,131.658521686011,Active Construction,Etana,1
2015-09-18,0.5066,NA,27.694,70.981,20,75,41541,81999.605211212,81.999605211212,Active Construction,Etana,1
2015-09-21,0.5091,NA,44.243,62.589,20,75,66364.5,130356.51149086624,130.35651149086624,Active Construction,Etana,1
2015-09-28,0.5105,NA,99.837,47.195,20,75,149755.5,293350.63663075416,293.35063663075414,Active Construction,Etana,1
2015-09-30,0.4919,NA,90.332,52.513,20,75,135498,275458.42650945316,275.45842650945315,Active Construction,Etana,1
2015-10-02,0.4953,AM,72.711,53.164,20,75,109066.5,220202.90732889157,220.20290732889157,Active Construction,Etana,1
2015-10-03,0.4895,0.375,63.138,55.857,20,75,94707,193477.0173646578,193.4770173646578,Active Construction,Etana,1
2015-10-05,0.5013,0.35416666666666669,48.41,60.902,20,75,72615,144853.38120885697,144.85338120885697,Active Construction,Etana,1
2015-10-07,0.5147,NA,58.139,57.43,20,75,87208.5,169435.59354964056,169.43559354964057,Active Construction,Etana,1
2015-10-12,0.5171,0.33333333333333331,32.224,68.355,20,75,48335.99999999999,93475.14987429896,93.47514987429896,Active Construction,Etana,1
2015-10-14,0.5139,AM,41.711,63.683,20,75,62566.5,121748.3946293053,121.7483946293053,Active Construction,Etana,1
